20	17	E	-1.3081369295399807E7	200
transitionprobs	17	14	0.04389148667571846
transitionprobs	17	15	0.012021023730501498
transitionprobs	17	16	0.13382231746932022
transitionprobs	17	17	0.5227522084804461
transitionprobs	17	18	0.020408893780213763
transitionprobs	17	19	0.004060314734371853
transitionprobs	17	20	0.017166845127515484
transitionprobs	18	1	9.102841352281E-4
transitionprobs	18	2	7.401415318180636E-4
transitionprobs	18	3	1.3130744693067562E-4
transitionprobs	18	4	0.0
transitionprobs	18	5	0.0
transitionprobs	18	6	0.0013036920163872153
transitionprobs	18	7	8.317285232728791E-4
transitionprobs	18	8	0.0
transitionprobs	18	9	1.6496293855138193E-5
transitionprobs	18	10	3.703951638459175E-4
transitionprobs	18	11	0.0013694848546902322
transitionprobs	18	12	0.014245493434441989
transitionprobs	18	13	8.137667904591668E-4
transitionprobs	18	14	0.0
transitionprobs	18	15	0.0
transitionprobs	18	16	0.02338069808000034
transitionprobs	18	17	0.026640373539436504
transitionprobs	18	18	0.8024257213053456
transitionprobs	18	19	0.1252772427435382
transitionprobs	18	20	0.001543174140749941
transitionprobs	19	1	5.080751902635404E-4
transitionprobs	19	2	0.0
transitionprobs	19	3	5.886051193679814E-4
transitionprobs	19	4	0.0
transitionprobs	19	5	2.9234877643529426E-4
transitionprobs	19	6	1.2740191021187584E-4
transitionprobs	19	7	0.005380684686925589
transitionprobs	19	8	5.280368998311035E-4
transitionprobs	19	9	0.06135512420905717
transitionprobs	19	10	0.0
transitionprobs	19	11	0.00857421072138284
transitionprobs	19	12	0.0
transitionprobs	19	13	0.005741080755588277
transitionprobs	19	14	0.0
transitionprobs	19	15	0.0
transitionprobs	19	16	0.0
transitionprobs	19	17	0.002571976427693287
transitionprobs	19	18	0.060744950064052394
transitionprobs	19	19	0.8508649291711855
transitionprobs	19	20	0.002722576068005109
transitionprobs	20	1	0.0010220512395774418
transitionprobs	20	2	0.0
transitionprobs	20	3	0.004491910736077858
transitionprobs	20	4	0.021298343097170314
transitionprobs	20	5	0.00380345845113115
transitionprobs	20	6	0.00122356496821876
transitionprobs	20	7	0.08506482951980154
transitionprobs	20	8	0.008202670559929187
transitionprobs	20	9	0.2700306259371321
transitionprobs	20	10	0.005133947961929623
transitionprobs	20	11	0.01762241386657029
transitionprobs	20	12	0.018076309639351838
transitionprobs	20	13	0.017275996350378717
transitionprobs	20	14	0.0017168664870197206
transitionprobs	20	15	2.4753644434649502E-5
